state,indicator_id,indicator,indicator_category,urban,rural,total,total_2005-06
Manipur,42,Children who received a health check after birth from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of birth (%),Maternity Care (for last birth in the 5 years before the survey),14.9,8.5,10.7,na
Manipur,43,Institutional births (%),Delivery Care (for births in the 5 years before the survey),86.3,60.5,69.1,45.9
Manipur,44,Institutional births in public facility (%),Delivery Care (for births in the 5 years before the survey),55.3,40.9,45.7,36.1
Manipur,45,Home delivery conducted by skilled health personnel (out of total deliveries) (%),Delivery Care (for births in the 5 years before the survey),5.9,9.1,8,13.2
Manipur,46,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),Delivery Care (for births in the 5 years before the survey),92.4,69.5,77.2,59
Manipur,47,Births delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),33,15.2,21.1,9
Manipur,48,Births in a private health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),52.9,40.9,46.2,26.7
Manipur,49,Births in a public health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),30,17.6,22.6,17.6
Manipur,50,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",Child Immunizations and Vitamin A Supplementation,74.3,61.7,65.9,46.8
Manipur,51,Children age 12-23 months who have received BCG (%),Child Immunizations and Vitamin A Supplementation,95.5,89.1,91.2,80
Manipur,52,Children age 12-23 months who have received 3 doses of polio vaccine (%),Child Immunizations and Vitamin A Supplementation,84.7,72.7,76.6,77.5
Manipur,53,Children age 12-23 months who have received 3 doses of DPT vaccine (%),Child Immunizations and Vitamin A Supplementation,84.9,74.3,77.8,61.2
Manipur,54,Children age 12-23 months who have received measles vaccine (%),Child Immunizations and Vitamin A Supplementation,81.8,70.4,74.2,52.9
Manipur,55,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation,78.1,65.8,69.9,na
Manipur,56,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation,39.1,28.4,32.1,11.2
Manipur,57,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation,92.8,92.9,92.9,92.7
Manipur,58,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation,7,5.6,6.1,3.3
Manipur,59,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),6.2,5.5,5.8,10
Manipur,60,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),Treatment of Childhood Diseases (children under age 5 years),60.4,60.1,60.2,36.2
Manipur,61,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years),15.2,13.4,14.1,na
Manipur,62,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),37,28,31.2,37.8
Manipur,63,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),1.8,1.7,1.7,4.7
Manipur,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),45.6,35.6,39.1,43.2
Manipur,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,64.2,66.1,65.4,57.2
Manipur,66,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,78.9,71.3,73.6,62.1
Manipur,67,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,78.6,78.8,78.8,77.4
Manipur,68,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,21.2,18.4,19.3,na
Manipur,69,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,34.1,7.5,14.1,na
Manipur,70,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,22.1,17.3,18.8,na
Manipur,71,Children under 5 years who are stunted (height-for-age) (%),Child Feeding Practices and Nutritional Status of Children,24.1,31.4,28.9,35.6
Manipur,72,Children under 5 years who are wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,6.4,7.1,6.8,9
Manipur,73,Children under 5 years who are severely wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,1.8,2.4,2.2,2.1
Manipur,74,Children under 5 years who are underweight (weight-for-age) (%),Child Feeding Practices and Nutritional Status of Children,13.1,14.2,13.8,22.2
Manipur,75,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),8.5,9,8.8,14.8
Manipur,76,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),11.5,10.9,11.1,16.3
Manipur,77,Women who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),31.2,22.4,26,13.3
Manipur,78,Men who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),21.8,18.5,19.8,9.2
Manipur,79,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,24.9,23.3,23.9,41.1
Manipur,80,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults,26.4,26.5,26.4,35.7
Manipur,81,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,28.5,24.8,26,36.3
Manipur,82,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults,26.5,26.4,26.4,35.7
Manipur,83,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults,9,9.9,9.6,11.4
Manipur,84,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,8.8,6.8,7.6,na
Manipur,85,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,3.7,2.6,3,na
Manipur,86,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,9.1,9.4,9.3,na
Manipur,87,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,4,4.5,4.3,na
Manipur,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,9.3,7.9,8.5,na
Manipur,89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,2.1,1.8,1.9,na
Manipur,90,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,1.2,0.8,1,na
Manipur,91,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,18.9,14.1,16,na
Manipur,92,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,4.4,2.3,3.1,na
Manipur,93,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Men,0.7,1.7,1.3,na
Manipur,94,Cervix (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,17.4,17.1,17.2,na
Manipur,95,Breast (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,5.7,3.3,4.3,na
Manipur,96,Oral cavity (%),Women Age 15-49 Years Who Have Ever Undergone Examinations of,17.9,13.1,15,na
Manipur,97,Women who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),45.8,37.4,40.7,44
Manipur,98,Men who have comprehensive knowledge17 of HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),65,53.5,57.9,60.9
Manipur,99,Women who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),83,76.4,79,79.1
Manipur,100,Men who know that consistent condom use can reduce the chances of getting HIV/AIDS (%),Knowledge of HIV/AIDS among Adults (age 15-49 years),91.3,84.8,87.3,92.2
Manipur,101,Currently married women who usually participate in household decisions (%),Women's Empowerment and Gender Based Violence (age 15-49 years),96.4,96,96.2,94.4
Manipur,102,Women who worked in the last 12 months who were paid in cash (%),Women's Empowerment and Gender Based Violence (age 15-49 years),43.8,39,40.9,49.7
Manipur,103,Ever-married women who have ever experienced spousal violence (%),Women's Empowerment and Gender Based Violence (age 15-49 years),48.1,56.1,53.1,43.8
Manipur,104,Ever-married women who have experienced violence during any pregnancy (%),Women's Empowerment and Gender Based Violence (age 15-49 years),4.1,3,3.4,na
Manipur,105,Women owning a house and/or land (alone or jointly with others) (%),Women's Empowerment and Gender Based Violence (age 15-49 years),72.7,68.1,69.9,na
Manipur,106,Women having a bank or savings account that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),42.9,29.7,34.8,8
Manipur,107,Women having a mobile phone that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),71.6,57.8,63.1,na
Manipur,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women's Empowerment and Gender Based Violence (age 15-49 years),80.5,73.3,76.1,na
Manipur,109,Women who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),46,50.7,48.8,39.6
Manipur,110,Men who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),66.1,73.5,70.6,69.5
Manipur,111,Women who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),6.2,6.1,6.1,1.9
Manipur,112,Men who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),52.9,52.3,52.5,47.4
Manipur,113,Women who tried to stop smoking or using tobacco in any other form during the past 12 months (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),34.4,28.3,30.7,na
Manipur,114,Men who tried to stop smoking or using tobacco in any other form (during the past 12 months) (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),30.1,36.5,34.2,na
Manipur,23,#N/A,#N/A,3.6,2.8,3.1,8.2
Meghalaya,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,93.2,80.2,83,66.2
Meghalaya,2,Population below age 15 years (%),Population and Household Profile ,27.9,38.7,36.5,40.4
Meghalaya,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,"1,067",991,"1,005","1,005"
Meghalaya,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,891,"1,030","1,009",907
Meghalaya,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,89.2,78.4,79.8,43.3
Meghalaya,6,Households with electricity (%),Population and Household Profile ,99,89.2,91.4,70.4
Meghalaya,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,85.2,62.9,67.9,63.1
Meghalaya,8,Households using improved sanitation facility (%),Population and Household Profile ,67.9,58.1,60.3,37.6
Meghalaya,9,Households using clean fuel for cooking (%),Population and Household Profile ,65.7,9.3,21.8,21.1
Meghalaya,10,Households using iodized salt (%),Population and Household Profile ,98.7,99.3,99.1,97.1
Meghalaya,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,23.2,37.9,34.6,0.7
Meghalaya,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,93.4,79.6,82.8,69.5
Meghalaya,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,95.7,80.8,84,72.7
Meghalaya,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,59.4,25.8,33.6,22.9
Meghalaya,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,7.8,19.3,16.5,24.5
Meghalaya,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,-8.5,22.4,19.6,33.3
Meghalaya,17,Total fertility rate (children per woman),Marriage and Fertility,1.7,3.5,3,3.8
Meghalaya,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,3.4,10.1,8.6,8.3
Meghalaya,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",15,32,30,44
Meghalaya,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",20,43,40,70
Meghalaya,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),32.8,22.4,24.3,24.3
Meghalaya,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),27.6,20.6,21.9,18.5
Meghalaya,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0,0,0,0.1
Meghalaya,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),3.7,1.8,2.1,1.5
Meghalaya,26,Pill (%),Current Use of Family Planning Methods (currently married women age 15-49 years),7.8,12.5,11.7,5
Meghalaya,27,Condom (%),Current Use of Family Planning Methods (currently married women age 15-49 years),3.1,0.9,1.3,2.4
Meghalaya,28,Total unmet need (%),Unmet Need for Family Planning (currently married women age 15-49 years),21.2,21.2,21.2,35.8
Meghalaya,29,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15-49 years),13.9,15.6,15.3,23.2
Meghalaya,30,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services,16.6,26.5,24.2,7.2
Meghalaya,31,Current users ever told about side effects of current method (%),Quality of Family Planning Services,64.7,61.2,61.8,44.7
Meghalaya,32,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey),68.3,50.7,53.3,32.6
Meghalaya,33,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey),71.3,46.3,50,42.8
